Strategy;ALLCorALLD;AON2;Adaptive;Adaptive Pavlov;Adaptive Pavlov.1;Adaptive Tit Fo;AdaptorBrief;AdaptorLong;Aggravater;Alexei;Alternator;Alternator Hunt;Anti Tit For Ta;AntiCycler;Appeaser;Arrogant QLearn;Average Copier;BackStabber;Better and Bett;Bully;Burn Both Ends;Bush Mosteller;CAPRI;Calculator;Cautious QLearn;CollectiveStrat;Contrite Tit Fo;Cooperator;Cooperator Hunt;Cycle Hunter;Cycler CCCCCD;Cycler CCCD;Cycler CCCDCD;Cycler CCD;Cycler DC;Cycler DDC;DBS;Defector;Defector Hunter;Delayed AON1
ALLCorALLD;2,5;2,36;0,09;1,02;3,0;3,0;2,76;2,14;2,96;2,98;1,5;3,0;0,02;4,6;3,0;1,86;1,0;1,08;0,27;4,98;2,74;2,12;3,0;0,26;2,9;0,02;3,0;3,0;0,06;5,0;2,5;4,0;2,01;3,68;3,0;2,32;1,08;0,0;1,08;3,0
AON2;0,66;3,0;4,83;3,0;3,0;3,0;1,21;2,96;0,66;2,98;2,98;3,0;4,94;4,58;3,0;4,52;1,73;2,98;0,99;4,93;1,9;1,24;3,0;1,8;4,62;0,68;3,0;3,0;4,92;3,0;4,28;3,96;3,64;3,66;2,97;1,82;3,0;0,66;3,0;3,0
Adaptive;4,94;0,16;2,95;2,96;2,86;2,96;2,92;0,2;1,03;2,94;2,96;4,94;4,84;4,56;0,18;1,46;1,42;1,14;1,51;4,83;2,64;2,06;2,96;2,92;1,84;0,98;2,96;4,94;4,89;4,94;4,28;3,94;3,63;3,63;2,96;2,28;1,14;0,97;4,94;0,18
Adaptive Pavlov;1,0;3,0;2,96;3,0;3,0;3,0;1,08;2,3;1,0;2,98;2,98;3,0;2,38;3,12;3,0;3,02;1,34;2,98;1,3;2,32;1,05;2,06;3,0;1,02;2,96;1,0;3,0;3,0;3,04;3,0;4,28;3,96;3,64;3,64;2,17;1,18;3,0;1,0;3,0;3,0
Adaptive Pavlov;3,0;3,0;3,02;3,0;3,0;3,0;3,0;2,39;1,0;2,98;1,52;3,0;3,14;2,84;3,0;3,02;2,72;2,98;1,4;3,18;1,06;1,89;3,0;1,05;2,96;1,0;3,0;3,0;3,04;3,0;4,28;3,96;3,64;3,64;1,53;2,31;3,0;1,0;3,0;3,0
Adaptive Tit Fo;3,0;3,0;2,96;3,0;3,0;3,0;2,94;1,62;1,0;2,98;2,49;3,0;2,25;2,9;3,0;2,96;2,64;2,97;1,27;2,25;1,08;1,54;3,0;1,06;2,94;1,0;3,0;3,0;2,98;3,0;2,84;2,74;2,67;2,67;2,5;1,98;3,0;1,0;3,0;3,0
AdaptorBrief;3,16;2,41;2,98;1,05;3,0;3,0;3,0;2,33;0,99;2,96;2,5;3,01;2,63;2,9;3,0;2,98;2,88;2,98;1,48;2,63;1,32;1,98;2,99;1,72;2,94;1,0;2,99;3,01;3,56;3,0;2,83;2,74;2,67;2,68;2,5;2,31;3,01;1,0;4,11;2,54
AdaptorLong;3,57;2,96;4,8;2,32;1,34;1,65;0,75;2,92;0,65;2,82;2,98;4,47;4,89;4,56;3,0;3,08;1,62;1,62;0,94;4,87;1,6;1,74;1,7;0,88;2,84;0,66;1,78;4,27;3,68;4,8;4,28;3,94;3,62;3,62;2,98;2,18;2,57;0,65;3,9;2,97
Aggravater;3,03;2,36;1,08;1,02;1,02;1,02;1,04;2,4;1,0;1,02;3,0;3,03;4,94;4,6;3,0;1,76;1,02;3,0;1,4;4,98;1,02;2,14;1,02;1,02;2,78;1,02;1,02;3,03;3,03;3,03;4,32;4,0;3,68;3,68;3,0;2,32;3,03;1,0;3,03;3,02
Alexei;3,01;3,01;2,96;3,01;3,01;3,01;2,99;2,79;1,0;2,99;2,5;3,01;2,25;2,9;3,01;2,96;3,01;2,98;1,27;2,26;1,11;1,6;3,01;1,14;2,93;1,0;3,01;3,01;3,0;3,01;2,84;2,74;2,68;2,68;2,5;1,98;3,01;1,0;3,01;3,01
